A_id,B_id,label
1010,1534,FALSE
1010,156,TRUE
1016,1237,TRUE
1031,503,TRUE
1034,1313,TRUE
1046,2602,TRUE
1061,884,TRUE
1067,541,TRUE
1073,861,TRUE
1091,2461,TRUE
1100,2386,TRUE
1136,829,TRUE
1157,1183,TRUE
1160,2901,TRUE
1172,56,TRUE
1178,2301,TRUE
1184,845,TRUE
1199,2103,TRUE
1214,1458,TRUE
1217,1115,TRUE
1226,933,TRUE
1235,281,TRUE
1256,2328,TRUE
1265,751,TRUE
1286,809,TRUE
1307,162,TRUE
1319,993,TRUE
1337,2079,TRUE
1352,2384,TRUE
1370,2158,TRUE
1373,1133,TRUE
1376,1101,TRUE
1385,1990,FALSE
1415,326,TRUE
1433,2849,TRUE
1448,333,TRUE
1478,15,TRUE
1481,25,TRUE
1514,2210,TRUE
1526,1802,TRUE
1532,1665,TRUE
1538,175,TRUE
1544,2664,TRUE
1559,1550,TRUE
1562,16,TRUE
1589,2346,TRUE
1592,167,TRUE
161,1845,TRUE
1631,891,TRUE
1688,3097,TRUE
170,1193,TRUE
1706,43,TRUE
1709,2811,TRUE
1751,1851,TRUE
1799,2321,TRUE
1808,1187,TRUE
1811,2062,TRUE
1841,1464,TRUE
1907,406,TRUE
1922,1361,TRUE
1946,2974,TRUE
1958,3043,TRUE
1967,1871,FALSE
2,312,TRUE
200,143,TRUE
2000,2345,TRUE
2006,2352,TRUE
2024,833,TRUE
2027,2183,TRUE
2039,785,TRUE
2042,814,TRUE
2078,2492,TRUE
2093,1069,TRUE
212,461,TRUE
2147,2367,TRUE
2180,2105,TRUE
221,2051,TRUE
2213,1121,TRUE
2219,1979,TRUE
2243,1308,TRUE
2246,1045,TRUE
2249,2464,TRUE
2312,1327,TRUE
2333,1940,TRUE
2348,2060,TRUE
2366,277,TRUE
2438,2060,TRUE
2441,1688,FALSE
2465,2131,TRUE
2465,2209,FALSE
2483,1888,TRUE
2495,2880,FALSE
2501,2874,TRUE
2504,960,TRUE
2507,2044,TRUE
251,2142,TRUE
2522,123,TRUE
2540,1990,TRUE
2543,2365,TRUE
2546,523,TRUE
2555,1025,TRUE
2561,2997,TRUE
2564,2197,TRUE
2576,1706,TRUE
2591,2252,TRUE
2597,2764,TRUE
2606,2972,TRUE
2612,2517,TRUE
2621,2530,TRUE
2624,1191,TRUE
2639,507,TRUE
2642,1584,TRUE
2648,1764,TRUE
2651,372,TRUE
2657,303,TRUE
266,377,TRUE
2663,1724,TRUE
2663,2971,TRUE
2675,1121,TRUE
2675,1169,TRUE
2684,842,TRUE
269,2977,TRUE
2690,559,TRUE
2699,2039,TRUE
2705,2319,TRUE
2708,1942,TRUE
2714,2343,TRUE
2720,1651,TRUE
2723,2356,TRUE
2729,1340,FALSE
2735,1621,TRUE
2750,701,TRUE
2771,1659,TRUE
2789,1076,TRUE
2795,497,TRUE
2879,1167,TRUE
2903,861,TRUE
